src_city,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
mehamn,Mehamn,75.0,NO,1600403722.0,75.0,71.04,27.85,42.8,20.8
itarema,Itarema,32.0,BR,1600403723.0,76.0,-2.92,-39.92,78.39,16.22
gamboma,Gamboma,100.0,CG,1600403725.0,91.0,-1.88,15.86,72.73,1.57
san patricio,San Patricio,100.0,MX,1600403726.0,82.0,19.22,-104.7,78.6,2.37
castro,Castro,100.0,BR,1600403464.0,85.0,-24.79,-50.01,58.32,3.96
colon,Colón,76.0,PA,1600403728.0,88.0,9.36,-79.9,78.8,2.24
sobolevo,Sobolevo,99.0,RU,1600403729.0,89.0,54.43,31.9,46.02,18.14
antofagasta,Antofagasta,90.0,CL,1600403730.0,76.0,-23.65,-70.4,57.2,4.7
haines junction,Haines Junction,99.0,CA,1600403732.0,73.0,60.75,-137.51,40.5,7.87
bathsheba,Bathsheba,20.0,BB,1600403733.0,88.0,13.22,-59.52,77.0,5.82
mar del plata,Mar del Plata,53.0,AR,1600403734.0,76.0,-38.0,-57.56,53.01,3.36
vokhtoga,Vokhtoga,100.0,RU,1600403735.0,92.0,58.81,41.05,48.18,6.38
maumere,Maumere,11.0,ID,1600403681.0,62.0,-8.62,122.21,83.98,1.61
ugoofaaru,Ugoofaaru,95.0,MV,1600403738.0,76.0,5.67,73.0,83.03,14.74
wonthaggi,Wonthaggi,48.0,AU,1600403739.0,66.0,-38.6,145.59,69.01,10.0
mahebourg,Mahébourg,20.0,MU,1600403740.0,60.0,-20.41,57.7,73.4,16.11
comodoro rivadavia,Comodoro Rivadavia,28.0,AR,1600403742.0,45.0,-45.87,-67.5,48.2,25.28
teahupoo,Teahupoo,20.0,PF,1600403743.0,61.0,-17.83,-149.27,82.4,1.12
zhanaozen,Zhangaözen,0.0,KZ,1600403744.0,30.0,43.3,52.8,62.64,17.65
wattegama,Wattegama,40.0,LK,1600403745.0,79.0,6.8,81.48,84.2,17.22
iqaluit,Iqaluit,90.0,CA,1600403746.0,59.0,63.75,-68.51,35.6,11.41
caramay,Caramay,100.0,PH,1600403748.0,68.0,10.18,119.24,85.71,11.34
kahului,Kahului,1.0,US,1600403749.0,54.0,20.89,-156.47,84.2,11.41
camopi,Camopi,4.0,GF,1600403750.0,95.0,3.17,-52.32,72.55,3.09
punta alta,Punta Alta,91.0,AR,1600403751.0,45.0,-38.88,-62.07,51.28,11.16
poum,Poum,1.0,NC,1600403753.0,80.0,-20.23,164.02,73.45,14.09
nelson bay,Nelson Bay,75.0,AU,1600403754.0,77.0,-32.72,152.15,68.0,13.87
broome,Broome,90.0,US,1600403755.0,93.0,42.25,-75.83,57.0,8.05
lavrentiya,Lavrentiya,100.0,RU,1600403756.0,80.0,65.58,-171.0,45.52,8.93
maues,Maués,4.0,BR,1600403758.0,70.0,-3.38,-57.72,76.93,1.45
guaraniacu,Guaraniaçu,51.0,BR,1600403759.0,94.0,-25.1,-52.88,53.2,0.72
kurchum,Kurchum,100.0,KZ,1600403760.0,45.0,48.57,83.65,60.22,8.55
kishapu,Kishapu,77.0,TZ,1600403761.0,54.0,-3.62,33.87,70.0,15.82
mgandu,Mgandu,59.0,TZ,1600403762.0,70.0,-5.95,34.13,62.89,12.41
lohja,Lohja,55.0,FI,1600403763.0,92.0,60.25,24.07,42.01,5.01
